item_name,category_name
sutas sut 1 lt,süt
sutas muzlu sut 1/5,süt
eti benimo çikolatali biskuvi 88 gr,büskivi çerez
kinder pingui dolgulu kek 30 gr,büskivi çerez
ülker cokomel marsh.6'li çilekli,büskivi çerez
ülker saklikoy 3'lu,büskivi çerez
torku gofret sutlu 35 gr no:1,büskivi çerez
ülker petitcifte kavrulmus 117,büskivi çerez
ülker cokoprens 10'lu,büskivi çerez
eti browni intense mini poşet visne,büskivi çerez
eti mini browni gold kakao sos kek 180gr,büskivi çerez
jumbo sele zeytin,zeytin
isil tuz 750 gr,tuz baharat
aroma m.suyu kutu 1lt seftali,gazsız içecek
aroma m.suyu kutu 1lt kayisi,gazsız içecek
kay su 5 lt,su madensuyu
cappy meyva nektari 1lt visne,gazsız içecek
pınar madran su 500ml,su madensuyu
cappy pulpy portakal 1 lt,gazsız içecek
pasakoy ayran 200gr,günlük içecek
aroma m.suyu kutu 1ltvisne,gazsız içecek
"erikli dogal memba su 1,5lt",su madensuyu
kay su 10 lt,su madensuyu
activex 4 lü sabun 280gr hassas koruma,duş banyo
h.sakir sab.beyaz 4lu lavanta,duş banyo
ülker canpare findikli kremali snd 85 gr,büskivi çerez
ülker saklikoy yulafli 133gr,büskivi çerez
ülker krispi peynirli cubuk 50 gr,büskivi çerez
luppo sandvic kek 8'li kakaolu,büskivi çerez
ülker cizi 260gr,büskivi çerez
içim sut 1lt. pastorize kutu,süt
içim sut 1lt sise sut,süt
içim sut 200 ml.,süt
eti balik kraker eko 160gr,büskivi çerez
eti hosbes findikli gofret 100 gr,büskivi çerez
eti kremali biskuvi 4.lu,büskivi çerez
cappy m.suyu 200ml visne,gazsız içecek
h.sakir sab.beyaz 4lu leylak,duş banyo
h.sakir guzl.sab.4lu elegan 400gr,duş banyo
duru geleneksel pirina sabunu 5*200 gr,duş banyo
duru 2000 5li sabun375gr gul,duş banyo
p.bahçe 52883 space 6li su bardagi,mutfak eşya gereçleri
p.bahçe 62541 izmir 6'li çay bardagi,mutfak eşya gereçleri
pınar ac bitir salam 75 gr,et şarküteri
pınar hindi salam kg,et şarküteri
baktat kokteyl yesil zeytin 200 gr,zeytin
eti sticks çikolata keyfi 88 gr naneli,büskivi çerez
eti kaymaklim kakaolu biskuvi 75 gr,büskivi çerez
eti canga 5 li paket 140 gr,büskivi çerez
eti aci balik kraker 125 gr,büskivi çerez
ülker halley 10 adet,büskivi çerez
knorr bulyon 12 tablet tavuk %25 bed,corba bulyon
bizim mutfak et suyu 9+3 bedava,corba bulyon
ülker biskrem kakaolu rulo,büskivi çerez
ülker susamli cubuk kraker 50gr,büskivi çerez
eti cin mini portakalli 48 gr,büskivi çerez
eti puf 18 gr.renkli,büskivi çerez
eti cin tek lokmalik portakalli 112 gr,büskivi çerez
eti tartini frambuazli turta 180 gr,büskivi çerez
eti kombo 56 gr,büskivi çerez
carte dor puding bitter çikolatali 116gr,unlu mamüller
carte dor puding çikolatali findikli 109 gr,unlu mamüller
içim puding sutlu çikolatali 150gr,unlu mamüller
dr.oetker puding kakaolu 154 g,unlu mamüller
sultan hamb-sandv 8 li,unlu mamüller
içim puding kakaolu 150gr,unlu mamüller
altin cezve toz icecek nar 300 gr,çay kahve
akdem harnup pekmezi 820 gr,kahvaltılık
koska tahin 550 gr.,kahvaltılık
